OBJECTID,TRACT,BLKGRP,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,SHAPE_Length,SHAPE_Area
88,000902,2,110010009022,1343,1291,1191,34,4,51,1,10,22,5,29,1,54,1152,32,3,51,1,4,17,3,29,1,974,872,28,1,47,1,6,6,5,10,1,37,843,26,1,47,1,3,4,3,10,1,545,526,19,6794.29619980213,1736375.84568472
89,001001,1,110010010011,671,645,596,22,1,20,0,6,7,5,14,2,70,535,22,0,19,0,2,5,4,12,2,528,469,20,1,19,0,5,4,4,6,2,54,424,20,0,18,0,1,2,2,5,2,284,273,11,2222.12443513187,277604.198807841
90,001001,2,110010010012,1976,1909,1657,100,8,119,0,25,19,9,48,3,122,1570,99,3,116,0,7,14,5,47,2,1632,1387,86,6,95,0,21,13,7,22,2,104,1310,85,3,94,0,4,11,5,21,2,963,905,58,2854.46476293861,495574.804008411
91,001001,3,110010010013,1030,990,926,18,0,32,0,14,7,1,31,1,62,879,18,0,32,0,3,6,1,29,1,779,707,15,0,26,0,10,4,1,16,1,43,675,15,0,26,0,1,3,1,15,1,396,386,10,2605.02322757921,334698.522993233
92,001001,4,110010010014,1852,1776,1499,91,2,166,2,16,23,13,42,3,137,1386,89,2,165,2,2,19,13,40,3,1537,1243,80,2,154,2,16,14,8,18,3,107,1155,80,2,153,2,2,11,8,18,3,469,464,5,3893.3237320374,698621.786015989
93,001001,5,110010010015,798,763,652,38,3,62,0,8,9,5,22,0,37,617,38,2,62,0,7,9,5,22,0,608,520,28,2,45,0,5,3,3,3,0,26,495,28,2,45,0,4,3,3,3,0,300,293,7,2388.62292993632,295459.432707457
94,001001,6,110010010016,1109,1085,1012,29,3,33,0,8,9,0,15,0,84,938,29,2,33,0,1,8,0,14,0,834,771,20,3,26,0,8,0,0,6,0,53,727,20,2,26,0,1,0,0,5,0,422,406,16,2633.51349260107,352062.225610236
95,001002,1,110010010021,1255,1221,969,74,2,165,0,11,10,10,14,2,99,889,69,1,165,0,2,8,9,13,2,1229,954,68,2,160,0,11,10,11,14,2,93,879,64,1,160,0,2,8,9,14,2,911,774,137,2697.96556919243,325289.368660229
96,001002,2,110010010022,1444,1392,1184,80,1,107,0,20,14,4,32,1,123,1083,78,1,107,0,5,13,4,31,0,1328,1101,73,1,101,0,17,7,3,22,1,106,1014,71,1,101,0,5,6,3,21,0,1009,900,109,2002.02211009416,222060.419871968
97,001002,3,110010010023,743,716,635,31,4,39,0,7,11,10,13,3,49,592,31,3,39,0,2,11,11,12,3,669,582,24,4,36,0,5,7,8,8,3,42,545,24,3,36,0,1,7,8,8,3,422,415,7,3578.02995341271,342287.06775855
98,001100,1,110010011001,1827,1791,1564,97,2,112,4,12,8,2,26,1,121,1466,97,0,110,2,5,6,0,22,0,1526,1302,89,2,100,4,9,5,0,15,1,92,1227,89,0,98,2,3,5,0,12,0,939,897,42,2960.90754951935,423633.391775992
99,001100,2,110010011002,1634,1575,1304,143,5,94,1,28,22,10,37,0,102,1236,143,2,92,0,13,16,5,35,0,1346,1083,129,5,83,1,16,11,6,17,0,78,1029,129,2,81,0,5,9,4,15,0,679,640,39,3466.96995954339,470321.575370939
100,001100,3,110010011003,596,588,534,21,0,26,1,6,3,2,4,0,39,502,21,0,25,1,2,3,1,2,0,513,459,19,0,24,1,5,0,2,4,0,36,430,19,0,23,1,1,0,0,2,0,310,285,25,1882.90112782439,159797.595486077
101,001100,4,110010011004,722,687,610,29,2,41,0,5,8,4,21,0,44,569,29,2,41,0,5,7,3,21,0,595,511,23,2,36,0,4,4,3,9,0,36,476,23,2,36,0,4,4,3,9,0,306,296,10,4115.46780434656,622673.817761919
102,004001,1,110010040011,1548,1475,1303,61,2,71,1,37,19,13,39,5,172,1180,57,2,71,1,2,18,19,33,5,1439,1220,58,2,69,1,34,14,12,26,5,152,1110,57,2,69,1,2,13,12,26,5,944,891,53,1426.18334360566,88548.1378765451
103,004001,2,110010040012,646,631,573,26,0,23,0,9,4,4,8,0,37,549,26,0,23,0,1,3,2,5,0,622,555,26,0,23,0,6,4,4,5,0,30,534,26,0,23,0,0,3,2,4,0,466,434,32,1031.02729135108,43864.0019147658
104,004001,3,110010040013,1551,1517,1361,52,3,68,7,26,10,9,13,0,136,1270,50,3,68,2,0,7,5,12,0,1425,1259,47,3,65,5,17,8,9,11,0,107,1181,47,3,65,2,0,7,5,10,0,1079,980,99,1535.24641164927,143431.908624355
105,004002,1,110010040021,680,656,545,51,1,27,1,31,6,3,12,3,102,495,35,1,27,1,1,5,4,11,3,642,519,48,1,27,1,28,3,4,11,3,91,471,35,1,27,1,1,2,4,11,3,452,430,22,947.748627059064,42390.5474177511
106,004002,2,110010040022,1544,1502,1241,141,2,95,0,23,16,8,27,1,97,1175,140,1,93,0,1,13,6,25,1,1480,1199,131,2,87,0,21,16,8,25,0,95,1133,130,1,85,0,1,13,6,23,0,1000,935,65,1182.86717640466,83764.3155896805
107,004002,3,110010040023,573,562,446,34,1,59,0,22,5,3,5,0,51,418,34,0,59,0,1,4,2,5,0,532,417,30,0,56,0,18,5,3,5,0,41,394,30,0,56,0,1,4,2,5,0,464,397,67,1210.03693123181,69921.3258470689
108,004100,1,110010041001,1229,1201,1027,66,0,77,0,31,15,5,13,0,131,933,60,0,77,0,5,13,5,11,0,1154,972,58,0,72,0,29,14,5,9,0,118,886,53,0,72,0,5,13,5,8,0,882,748,134,1321.61276152272,100847.012407519
109,004100,2,110010041002,671,657,573,24,6,44,2,8,2,4,5,0,49,541,23,1,43,2,1,2,1,5,0,602,521,21,6,42,2,6,0,2,1,0,42,492,20,1,41,2,1,0,1,1,0,406,366,40,2784.56760782964,303730.267436791
110,002102,1,110010021021,892,862,45,732,3,10,0,72,27,10,1,1,96,39,722,0,10,0,2,23,10,1,1,713,44,586,1,10,0,51,19,9,0,1,65,39,580,0,10,0,2,17,9,0,1,402,346,56,2380.50802134081,166959.820044896
111,002102,2,110010021022,811,788,65,641,2,8,0,72,21,10,1,1,114,50,613,2,8,0,4,18,10,1,1,652,59,521,1,4,0,50,15,7,1,1,81,46,503,1,4,0,2,13,7,1,1,456,379,77,1716.841854838,134019.575147519
112,002102,3,110010021023,718,692,41,574,4,5,0,68,24,9,6,0,98,31,567,4,5,0,0,12,5,1,0,537,34,443,2,5,0,38,13,6,5,0,57,29,438,2,5,0,0,5,3,1,0,328,283,45,1478.00523297703,98064.3440049725
113,002102,4,110010021024,760,739,57,619,1,3,0,59,19,10,1,1,96,34,614,1,3,0,1,10,6,1,1,596,45,496,0,3,0,34,16,10,1,1,59,30,494,0,3,0,0,9,6,1,1,324,291,33,1660.46331748946,127252.934886331
114,002102,5,110010021025,609,601,87,421,5,0,0,88,7,1,4,0,120,63,412,5,0,0,6,2,1,2,0,486,75,351,3,0,0,51,5,1,3,0,79,56,345,3,0,0,0,2,1,2,0,278,259,19,1151.33266665987,81273.5883741609
115,002102,6,110010021026,858,841,103,596,0,1,0,141,12,7,2,0,200,61,584,0,1,0,0,11,5,2,0,668,77,484,0,1,0,98,5,2,2,0,135,52,474,0,1,0,0,5,2,2,0,385,342,43,1401.54073431752,118293.567473443
116,002201,1,110010022011,1265,1236,171,879,1,5,0,180,21,7,2,1,300,91,857,0,5,0,3,8,5,1,0,1011,139,719,1,5,0,128,12,7,2,1,211,80,705,0,5,0,2,7,5,1,0,443,413,30,1522.3657243675,144506.657277864
117,002201,2,110010022012,1347,1305,197,859,10,27,0,212,23,9,5,0,364,95,835,3,27,0,4,15,9,4,0,1092,164,729,7,25,0,141,14,6,3,0,257,82,710,3,25,0,1,12,6,2,0,428,400,28,1912.47644181284,174331.496543463
118,002201,3,110010022013,830,813,64,593,1,23,0,132,15,6,3,2,159,41,589,1,23,0,3,13,6,3,2,621,51,455,1,17,0,83,12,5,1,2,101,36,454,1,17,0,1,10,5,1,2,315,297,18,1243.45943697956,96290.4681411318
119,002202,1,110010022021,1396,1345,167,895,19,14,1,249,40,17,6,0,343,103,888,8,14,0,3,30,17,6,0,1099,134,731,13,14,1,173,27,12,3,0,232,94,724,7,14,0,3,20,12,3,0,727,636,91,2868.92112394131,491968.082115258
120,002202,2,110010022022,750,700,50,561,0,5,0,84,31,6,5,14,145,23,548,0,5,0,1,28,4,5,14,591,38,450,0,5,0,65,25,5,4,13,98,20,443,0,5,0,1,24,4,4,13,347,306,41,1276.05386765038,98474.242453598
121,002202,3,110010022023,941,901,68,721,7,9,0,96,34,11,8,5,160,48,694,2,9,0,0,23,1,7,5,750,60,580,5,9,0,70,22,11,5,5,118,46,560,2,9,0,0,12,1,4,5,360,330,30,1297.26739732503,105014.713028176
122,002301,1,110010023011,1176,1160,193,841,5,20,0,101,7,6,2,0,149,158,832,5,20,0,3,6,6,2,0,957,181,672,5,15,0,72,5,5,1,0,110,151,667,5,15,0,2,4,5,1,0,423,397,26,2385.00547151094,181560.107920264
123,002301,2,110010023012,1798,1739,281,1296,15,17,2,128,37,9,10,18,253,213,1281,2,17,0,2,23,9,9,1,1441,235,1056,8,13,2,84,23,9,9,15,175,186,1043,1,13,0,2,14,9,8,1,745,672,73,2214.84741142242,231009.281923924
124,002302,1,110010023021,2036,1983,1022,870,10,60,0,21,40,19,13,7,84,978,860,10,60,0,2,31,18,13,3,1915,1004,778,10,58,0,19,34,19,11,7,68,968,772,10,58,0,2,27,18,10,3,1573,1216,357,5876.13667254679,2015113.17440509
125,002400,1,110010024001,870,840,220,486,0,20,0,114,20,10,4,0,224,131,475,0,20,0,4,12,8,4,0,723,199,408,0,20,0,70,18,10,3,0,158,127,399,0,20,0,4,12,8,3,0,363,337,26,1386.70950764386,98616.8325370978
126,002400,2,110010024002,1089,1066,215,728,8,14,0,101,15,6,2,3,190,153,715,3,14,0,0,12,6,2,2,874,177,596,7,11,0,65,12,5,1,3,128,133,588,3,11,0,0,9,5,1,2,413,370,43,2102.9413889488,215166.817910642
127,002400,3,110010024003,650,634,142,408,1,19,1,63,6,7,4,1,109,112,396,1,19,1,3,5,3,3,1,525,127,318,1,16,1,47,6,7,3,1,84,103,312,1,16,1,0,5,3,2,1,236,220,16,1474.82082165752,108136.846761391
128,002400,4,110010024004,1009,984,216,671,6,7,0,84,13,8,8,0,162,164,654,1,7,0,1,10,9,7,0,829,193,542,3,7,0,65,10,8,5,0,124,154,528,1,7,0,1,7,8,5,0,372,348,24,1681.87127100482,134384.538395636
129,002501,1,110010025011,1148,1102,154,753,4,4,4,183,22,16,4,11,288,93,730,3,4,1,3,19,16,4,0,939,132,638,4,3,3,126,16,13,3,7,204,87,619,3,3,1,2,14,13,3,0,525,510,15,2464.61940598853,315700.212922975
130,002501,2,110010025012,1406,1337,459,679,7,21,0,171,28,10,15,21,301,370,668,4,21,0,11,25,8,12,2,1153,382,582,7,19,0,114,19,9,7,18,226,308,572,4,19,0,6,16,7,6,2,517,494,23,2061.78014664323,227708.482817012
131,002502,1,110010025021,1038,989,166,580,6,9,0,228,19,3,6,17,352,109,550,1,9,0,5,11,3,5,0,835,147,492,4,8,0,144,14,3,5,14,243,99,472,1,8,0,2,9,3,4,0,480,435,45,1513.12329511894,141293.860180603
132,002502,2,110010025022,1376,1310,373,714,7,22,0,194,29,10,19,3,358,261,687,6,22,0,3,24,9,19,0,1155,328,606,3,22,0,148,18,9,13,3,265,249,587,2,22,0,3,16,8,13,0,665,557,108,1533.67265846046,151464.074018119
133,002502,3,110010025023,1383,1286,402,552,2,25,4,301,29,15,19,26,537,239,526,2,24,4,17,22,10,14,2,1126,349,453,2,23,4,229,19,15,12,19,404,222,439,2,22,4,12,13,10,9,2,428,403,25,1688.18129524843,150752.907125653
134,002502,4,110010025024,2176,1929,552,650,24,35,1,667,39,19,16,129,1285,228,600,4,35,1,3,15,6,9,0,1710,457,528,19,30,0,482,32,16,11,95,964,208,487,2,30,0,2,13,5,7,0,842,756,86,1675.49854716447,160935.753240204
135,002600,1,110010026001,928,881,435,374,2,27,0,43,33,13,11,2,87,403,369,2,27,0,5,25,8,11,2,796,372,331,2,24,0,35,22,10,6,2,72,343,326,2,24,0,5,18,8,6,2,476,447,29,4931.5656932221,842275.748585123
136,002600,2,110010026002,1238,1193,481,652,4,40,0,16,33,10,12,0,62,439,648,4,40,0,7,32,8,11,0,1020,410,536,4,31,0,10,23,10,6,0,45,380,532,4,31,0,4,22,8,5,0,525,500,25,6961.61573802473,1373978.84133744
137,002701,1,110010027011,553,527,389,84,1,40,0,13,15,6,7,0,69,344,81,1,40,0,0,14,5,5,0,505,367,73,1,35,0,8,14,6,3,0,56,327,70,1,35,0,0,13,5,3,0,311,295,16,818.54636735538,36068.5627882954
138,002701,2,110010027012,1880,1786,1046,472,5,117,2,144,43,9,40,3,306,925,461,1,114,2,1,28,6,38,3,1705,962,441,4,105,2,119,34,8,30,3,248,867,430,1,102,2,1,23,5,28,3,930,889,41,1741.8044100092,126363.626118311
139,002701,3,110010027013,871,837,686,97,6,35,0,13,15,6,15,0,81,637,91,2,35,0,1,10,2,13,0,727,581,81,4,34,0,10,7,6,7,0,61,543,76,2,34,0,1,4,2,6,0,389,368,21,2708.42569761353,232102.764433115
140,002701,4,110010027014,1929,1839,707,628,17,84,0,403,51,35,26,9,813,361,603,12,78,0,16,34,20,17,4,1686,638,574,15,76,0,307,44,33,20,8,639,355,552,11,72,0,15,30,18,14,4,1215,1103,112,1300.04820658244,55734.1054913006
141,002702,1,110010027021,1608,1527,782,197,37,85,1,425,18,12,16,4,817,495,171,8,83,0,10,9,4,13,3,1426,725,181,26,76,1,348,16,12,14,4,678,482,157,4,75,0,7,9,4,12,3,839,776,63,1180.16119167925,77470.2852343917
142,002702,2,110010027022,2253,2163,1599,334,10,79,0,141,27,16,19,4,336,1459,323,6,78,0,8,19,7,16,4,1986,1423,305,10,71,0,110,18,13,14,2,276,1303,294,6,70,0,5,13,7,11,2,1137,980,157,2541.42763502337,193542.015416067
143,002702,3,110010027023,1365,1316,1058,168,1,41,0,48,20,10,23,6,150,970,158,1,41,0,6,15,10,23,4,1166,909,149,1,38,0,36,12,7,16,6,122,835,140,1,38,0,3,10,7,16,4,589,555,34,3023.49014572588,234539.314312536
144,002801,1,110010028011,1319,1262,597,433,7,57,1,167,22,12,14,1,286,523,419,5,54,0,3,13,9,13,1,1185,581,364,4,54,1,130,19,12,14,1,238,512,351,2,51,0,3,12,9,13,1,780,682,98,1149.02870191161,66568.7905864543
145,002801,2,110010028012,2454,2340,644,926,16,98,0,656,47,28,27,4,1096,294,902,6,97,0,9,31,15,18,4,1960,547,724,12,75,0,511,34,18,24,3,852,280,707,4,74,0,7,20,9,15,3,1040,964,76,1283.06488947042,105324.603414088
146,002802,1,110010028021,2385,2254,1038,567,23,110,1,515,28,13,26,5,1023,656,548,3,109,1,3,17,7,21,1,2024,922,464,17,102,1,405,28,13,23,5,795,625,455,3,101,1,2,17,7,21,1,1264,1151,113,1225.41912533093,89027.5618574958
147,002802,2,110010028022,1892,1789,715,502,28,71,1,472,37,24,14,4,820,469,486,6,71,0,1,26,11,7,1,1544,642,390,21,64,1,345,27,19,11,2,617,448,379,4,64,0,1,20,10,7,1,878,784,94,1543.84990747653,138986.770481917
148,002900,1,110010029001,1802,1732,658,699,8,39,1,327,25,10,27,2,503,524,690,3,39,1,8,19,7,20,1,1519,607,578,5,38,1,243,17,10,16,2,375,501,571,2,38,1,7,13,7,13,1,776,696,80,1581.80290136068,131890.515732558
149,002900,2,110010029002,2160,1987,948,547,21,86,4,381,27,18,21,9,867,635,523,1,86,4,9,12,4,20,2,1845,853,460,15,74,4,299,19,15,18,9,683,598,445,1,74,4,9,10,4,17,2,867,752,115,1877.28070887122,170442.095725691
150,003000,1,110010030001,1562,1474,822,396,3,93,5,155,37,18,32,2,291,728,383,2,93,2,5,30,14,29,1,1440,792,358,3,90,4,122,26,16,29,2,239,711,348,2,90,2,2,21,12,26,1,844,773,71,1388.89002113519,114853.899398462
151,003000,2,110010030002,1836,1773,554,1059,2,32,0,126,37,23,14,7,241,495,1026,0,31,0,2,31,16,14,2,1414,536,700,2,31,0,97,31,20,10,6,181,484,686,0,30,0,2,25,13,10,2,755,716,39,1392.40563839065,97060.9580807056
152,003100,1,110010031001,2885,2757,949,1086,18,101,0,603,38,24,20,11,1037,652,1056,1,97,0,6,22,9,16,4,2439,856,919,15,92,0,460,31,18,17,10,789,628,894,1,90,0,5,19,8,15,4,1131,1009,122,2574.25544465494,294776.24488345
153,003200,1,110010032001,1060,1036,276,653,4,16,0,87,12,9,2,0,180,219,631,4,16,0,0,8,7,2,0,883,243,531,3,15,0,73,9,7,2,0,142,201,514,3,15,0,0,6,5,2,0,370,345,25,1348.16078946634,99431.6752355835
154,003200,2,110010032002,911,901,233,513,2,9,0,144,6,3,1,1,247,141,504,1,9,0,4,5,2,0,0,749,184,442,2,9,0,104,4,3,1,1,163,134,435,1,9,0,3,4,2,0,0,380,338,42,1349.39439711411,96642.8371881813
155,003200,3,110010032003,1572,1522,308,946,11,26,1,230,24,9,6,0,429,160,930,5,26,1,3,13,3,5,0,1218,272,704,8,24,1,169,16,6,6,0,326,152,693,3,24,1,3,11,3,5,0,582,519,63,1452.64896468374,126472.121747499
156,003200,4,110010032004,1370,1344,297,805,5,41,0,196,14,11,7,0,332,203,771,4,41,0,2,11,7,6,0,1107,274,636,5,35,0,139,11,8,5,0,245,202,606,4,35,0,2,9,6,4,0,508,467,41,1552.69401489864,122307.973277195
157,003301,1,110010033011,1119,1065,267,770,2,13,0,13,42,16,15,0,34,250,760,2,13,0,8,40,16,15,0,961,242,657,2,12,0,10,26,10,14,0,27,230,648,2,12,0,6,24,10,14,0,496,443,53,2397.38904483037,249714.186063083
158,003301,2,110010033012,1051,1016,410,565,5,24,1,11,22,11,11,6,54,386,554,4,24,0,1,20,10,10,6,956,387,501,4,24,1,11,18,8,8,6,48,367,490,4,24,0,1,17,7,8,6,543,478,65,1463.26320259085,105663.059925504
159,003301,3,110010033013,1028,991,282,663,0,25,3,18,22,11,16,1,37,262,658,0,25,3,8,20,10,16,1,911,269,566,0,25,3,17,20,8,13,1,36,249,561,0,25,3,8,18,7,13,1,539,484,55,1347.2252387866,84233.6557945037
160,003302,1,110010033021,1120,1087,364,650,7,21,0,45,31,11,3,0,89,339,635,7,21,0,0,27,11,3,0,965,341,533,7,21,0,42,19,8,3,0,78,320,520,7,21,0,0,17,8,3,0,522,459,63,1501.36133272594,104899.950031115
161,003302,2,110010033022,1014,967,371,566,0,20,0,10,26,10,17,0,39,348,562,0,20,0,2,25,9,16,0,891,354,469,0,20,0,9,18,10,14,0,35,334,465,0,20,0,2,17,9,13,0,460,428,32,1427.47138503355,93709.047107039
162,003400,1,110010034001,1247,1206,158,1004,2,24,1,17,32,12,7,3,55,143,987,2,18,1,6,30,11,5,1,1095,144,875,2,21,1,13,32,12,5,3,44,134,862,2,15,1,4,30,11,3,1,510,410,100,1356.08606396223,105509.795267187
163,003400,2,110010034002,3100,2946,418,2388,18,73,2,47,125,54,38,5,184,385,2308,6,72,2,10,113,50,35,4,2902,394,2254,13,65,2,40,108,47,35,5,156,366,2181,6,64,2,10,99,44,32,4,837,615,222,5315.09353346704,972023.201333683
164,003500,1,110010035001,1594,1522,499,813,8,46,0,156,31,4,14,3,303,421,779,5,46,0,4,20,3,13,3,1388,462,701,7,44,0,121,27,4,9,3,231,403,671,4,44,0,4,20,3,8,3,669,601,68,1424.56341685953,123810.712712558
165,003500,2,110010035002,2146,2072,127,1868,6,60,0,11,60,22,14,5,68,109,1841,6,60,0,3,50,21,12,4,2010,119,1743,6,60,0,10,58,22,14,5,61,105,1716,6,60,0,3,50,21,12,4,520,363,157,2346.40091255792,258019.837524041
166,003600,1,110010036001,1482,1429,572,672,4,44,0,137,19,15,11,5,256,494,658,3,44,0,4,12,5,10,4,1278,547,541,4,44,0,102,14,10,10,4,200,480,528,3,44,0,4,10,4,9,3,894,746,148,1188.20253308954,76047.0231890355
167,003600,2,110010036002,1359,1319,412,630,6,57,0,214,12,8,14,3,344,319,610,2,55,0,5,10,6,13,2,1154,392,522,5,53,0,148,12,7,12,3,255,313,507,2,51,0,4,10,6,11,2,751,629,122,1093.17698349331,73580.3312876979
168,003600,3,110010036003,1367,1300,789,343,3,60,0,105,27,16,19,3,209,708,336,3,59,0,5,27,9,18,3,1248,752,315,2,52,0,74,24,14,13,3,161,680,311,2,51,0,3,24,9,12,3,663,612,51,1820.07939668843,155997.913457985
169,003700,1,110010037001,1236,1161,578,348,2,52,3,178,39,13,17,6,355,492,305,2,52,3,2,8,6,16,0,1016,548,246,1,42,2,112,33,13,17,2,244,481,220,1,42,2,2,7,6,16,0,633,582,51,1001.94955476484,61319.3645279752
170,003700,2,110010037002,3228,3094,782,1823,9,96,6,378,70,34,27,4,663,619,1772,6,93,3,8,45,22,20,2,2695,720,1476,7,90,6,297,51,24,24,3,503,598,1437,5,87,3,7,36,14,19,2,1304,1228,76,1411.15520779488,119645.476507391
171,003700,3,110010037003,1299,1252,555,356,11,64,1,265,25,13,11,5,496,379,328,5,61,1,6,12,6,9,5,1087,514,266,9,61,1,196,22,13,8,5,378,371,249,3,59,1,6,12,6,6,5,633,591,42,1653.19851621828,111347.13979206
172,003800,1,110010038001,1991,1902,1299,274,13,136,0,180,26,20,38,4,429,1092,260,3,135,0,10,23,17,34,1,1831,1233,252,11,122,0,136,22,18,35,4,348,1058,239,3,121,0,6,19,16,32,1,1202,1103,99,1553.02608122149,115891.57600159
173,003800,2,110010038002,1495,1436,1077,191,3,94,1,70,27,9,29,1,181,979,189,2,92,1,5,22,5,24,1,1393,1023,177,3,92,1,57,14,9,22,1,157,934,175,2,90,1,5,10,5,17,1,1038,964,74,1852.41091043618,148912.346420832
174,003800,3,110010038003,1128,1081,508,360,6,31,0,176,24,8,11,2,325,385,347,5,30,0,11,14,5,10,1,953,470,300,4,26,0,120,17,8,7,1,233,372,291,3,25,0,11,10,5,6,0,621,558,63,1471.34873933095,91002.3807512434
175,003900,1,110010039001,1350,1302,952,192,3,85,2,68,29,19,14,0,173,862,188,3,84,2,10,14,7,13,0,1287,928,183,3,76,2,56,22,15,12,0,152,844,179,3,75,2,9,11,6,11,0,931,882,49,1021.37866912331,45842.5045711066
