OBJECTID,TRACT,BLKGRP,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,SHAPE_Length,SHAPE_Area
176,003900,2,110010039002,1045,1006,833,82,6,52,0,33,20,9,13,1,98,774,81,5,52,0,2,18,9,13,1,1018,811,82,6,50,0,32,19,9,12,1,93,756,81,5,50,0,2,17,9,12,1,804,750,54,2998.14999918668,230930.479266746
177,003900,3,110010039003,1148,1101,789,192,5,54,1,60,25,11,14,0,169,707,181,3,54,0,6,13,6,13,0,1085,751,182,5,53,1,54,21,7,11,0,147,683,171,3,53,0,4,12,6,10,0,695,658,37,1422.62896509071,75019.0660411179
178,003900,4,110010039004,931,895,711,97,7,34,1,45,14,4,18,2,113,652,96,2,34,1,3,10,3,18,2,835,655,81,6,29,1,39,10,3,14,2,100,601,80,2,29,1,2,6,3,14,2,566,516,50,948.539287579802,49172.5150287414
179,005600,3,110010056003,2048,1971,1400,242,7,280,0,42,41,20,38,2,154,1307,234,5,280,0,2,38,18,35,2,1997,1373,232,7,274,0,38,41,20,35,2,147,1282,224,5,274,0,2,38,18,32,2,847,743,104,1070.03763916405,61242.7385593047
180,005600,4,110010056004,1180,1131,896,57,3,167,0,8,22,14,27,2,57,858,51,3,165,0,4,19,12,23,2,1166,887,57,3,167,0,8,20,14,24,2,56,849,51,3,165,0,4,17,12,21,2,725,533,192,1179.00017405505,87652.5641590833
181,005800,1,110010058001,930,900,739,74,3,73,1,10,11,6,13,2,64,694,73,3,71,1,1,5,6,13,2,894,720,64,3,72,1,10,8,6,10,2,59,677,63,3,70,1,1,5,6,10,2,993,650,343,3638.56080638037,677786.803668222
182,005800,2,110010058002,1900,1837,1067,191,4,529,3,43,18,11,33,4,116,1004,189,4,529,3,0,16,10,33,4,1816,1039,190,4,491,3,32,16,11,29,4,102,979,188,4,491,3,0,14,10,29,4,1313,1160,153,2427.73426124563,232925.859186118
183,005900,1,110010059001,2998,2922,1712,826,9,280,1,94,37,15,29,2,223,1617,806,9,278,1,7,25,13,25,1,2885,1695,752,7,278,1,83,31,14,27,2,207,1603,732,7,276,1,7,21,12,23,1,1868,1523,345,3377.37198275827,643826.10708364
184,006202,1,110010062021,33,33,7,25,0,1,0,0,0,0,0,0,0,7,25,0,1,0,0,0,0,0,0,29,7,21,0,1,0,0,0,0,0,0,0,7,21,0,1,0,0,0,0,0,0,8,8,0,27060.0709896142,11417531.6664333
185,006400,1,110010064001,1242,1215,73,1092,12,35,0,3,25,14,4,2,30,68,1074,12,35,0,0,21,10,4,2,946,71,819,7,23,0,2,22,12,4,2,20,66,810,7,23,0,0,18,8,4,2,629,583,46,1638.89877708297,168200.66541035
186,006400,2,110010064002,897,880,69,768,12,3,0,28,12,8,3,1,35,65,765,12,3,0,3,11,7,3,1,619,65,511,6,3,0,20,9,6,3,1,29,61,508,6,3,0,1,8,5,3,1,426,394,32,3781.9655523019,748311.752198822
187,006500,1,110010065001,997,973,788,114,6,52,1,12,8,7,13,3,50,756,110,5,51,1,6,6,3,13,2,926,732,112,6,45,1,10,6,5,11,3,40,707,109,5,44,1,4,4,3,11,2,631,526,105,2182.30771452244,145286.436826583
188,006500,2,110010065002,1534,1496,1300,114,7,61,0,14,11,6,19,4,73,1243,112,6,61,0,4,11,6,18,4,1370,1181,100,5,52,0,8,5,3,14,2,62,1130,98,5,52,0,2,5,3,13,2,912,794,118,3067.88661425362,350737.45415232
189,006600,1,110010066001,1909,1876,1718,58,11,70,1,18,15,8,14,1,78,1659,56,10,70,1,4,14,8,13,1,1680,1525,50,10,58,1,15,10,7,9,0,60,1482,48,10,58,1,2,9,7,8,0,1143,1016,127,2663.23824410057,296210.81455095
190,006700,1,110010067001,1194,1162,847,263,5,36,1,10,9,8,17,2,52,808,262,4,36,1,4,8,6,17,2,1025,737,226,3,30,1,7,7,7,10,1,42,704,225,3,30,1,2,6,6,10,1,595,548,47,1551.90322417756,145689.729595261
191,006700,2,110010067002,1111,1081,970,75,2,31,1,2,12,8,13,2,34,946,73,2,30,1,0,9,6,12,2,975,854,67,2,27,1,2,8,8,9,2,25,837,67,2,26,1,0,5,6,8,2,627,585,42,1395.48953909587,114820.02636745
192,006700,3,110010067003,1470,1436,1260,114,4,47,0,11,12,7,18,0,61,1211,112,4,47,0,6,11,5,16,0,1283,1112,96,4,41,0,11,8,7,6,0,54,1068,94,4,41,0,6,7,5,6,0,786,733,53,1705.84617198244,167758.702924885
193,006801,1,110010068011,1349,1314,378,896,2,21,0,17,24,9,14,0,59,347,887,1,21,0,2,21,8,14,0,1163,343,755,2,20,0,15,20,8,10,0,48,316,750,1,20,0,2,18,7,10,0,637,572,65,1658.6624990173,153837.9177182
194,007409,2,110010074092,1500,1473,8,1454,1,5,0,5,27,15,4,0,13,8,1447,1,5,0,0,26,14,4,0,945,6,914,1,3,0,5,16,10,3,0,10,6,910,1,3,0,0,15,9,3,0,623,601,22,1783.25927959937,157688.281552822
195,007409,3,110010074093,1211,1206,1,1203,1,1,0,0,5,4,0,0,9,1,1195,1,1,0,0,4,4,0,0,743,1,736,1,1,0,0,4,4,0,0,4,1,732,1,1,0,0,4,4,0,0,517,467,50,2026.55098056725,155830.969057986
196,007502,1,110010075021,2679,2643,29,2597,2,3,0,12,36,11,12,0,20,23,2590,2,3,0,5,36,11,12,0,1895,27,1830,2,3,0,10,23,6,7,0,16,21,1826,2,3,0,4,23,6,7,0,934,857,77,2551.82884217372,269733.809624376
197,007502,2,110010075022,1862,1811,14,1783,2,5,0,7,50,24,10,3,37,11,1767,2,5,0,5,34,19,7,1,1356,14,1291,2,5,0,6,37,18,8,1,25,11,1281,2,5,0,4,27,14,5,1,964,820,144,3460.50222223177,345994.637173895
198,007503,1,110010075031,740,731,18,701,0,1,0,11,7,5,2,2,13,18,699,0,1,0,1,7,5,2,2,569,18,534,0,1,0,8,7,5,1,2,8,18,534,0,1,0,1,7,5,1,2,353,290,63,2568.66506150494,278524.14224964
199,007503,2,110010075032,1685,1657,21,1618,8,5,0,5,27,9,2,2,24,19,1609,2,5,0,2,23,9,2,2,1072,21,1027,5,4,0,5,9,7,0,1,14,19,1021,2,4,0,2,9,7,0,1,647,567,80,1913.41899320554,221233.132343445
200,007504,1,110010075041,2451,2406,25,2370,5,4,0,2,45,18,6,0,6,24,2370,5,4,0,0,42,17,6,0,1652,22,1589,3,4,0,2,32,12,4,0,6,21,1589,3,4,0,0,29,11,4,0,1215,1007,208,4403.70024115352,796541.206043481
201,007601,1,110010076011,645,627,28,591,2,3,0,3,18,8,1,0,14,24,586,2,3,0,0,16,7,1,0,478,23,438,2,3,0,3,9,6,1,0,10,20,436,2,3,0,0,7,5,1,0,326,272,54,1442.78026123755,115124.07396706
202,006801,2,110010068012,600,579,269,296,1,10,0,3,6,3,11,1,15,260,296,1,10,0,1,3,3,11,1,524,231,261,1,10,0,3,5,3,9,1,13,223,261,1,10,0,1,3,3,8,1,340,308,32,1257.08273320355,90733.6750233452
203,006802,1,110010068021,721,702,303,373,1,12,0,13,11,2,14,0,31,288,370,1,10,0,6,8,0,12,0,621,273,318,1,10,0,9,6,1,7,0,26,258,316,1,10,0,3,4,0,6,0,378,336,42,1568.08033273419,106223.059857389
204,006802,2,110010068022,1363,1327,634,649,5,26,0,13,26,12,10,0,63,606,639,4,26,0,2,14,8,9,0,1133,531,538,5,21,0,9,20,10,9,0,45,508,534,4,21,0,0,13,8,8,0,626,585,41,2087.33944441352,176391.370718344
205,006804,1,110010068041,3670,3567,187,3225,29,21,1,104,75,41,25,11,315,91,3138,24,21,0,8,64,33,19,5,3396,186,2965,25,20,1,101,70,36,21,11,296,91,2894,20,20,0,7,59,28,15,5,13,12,1,6734.28725493454,2023092.67337275
206,006900,1,110010069001,1391,1353,887,429,3,28,0,6,9,7,26,0,55,845,424,2,28,0,4,7,5,23,0,1231,795,376,2,27,0,3,8,7,17,0,43,760,374,1,27,0,1,6,5,16,0,815,768,47,2599.90782933651,249227.362927912
207,006900,2,110010069002,788,768,517,207,4,33,2,5,2,6,9,2,32,495,206,4,33,2,2,2,1,9,2,657,439,172,4,25,2,4,1,3,6,1,25,420,171,4,25,2,1,1,1,6,1,375,346,29,1655.95045307973,161032.766982893
208,007000,1,110010070001,1352,1308,1066,201,1,23,0,17,14,9,27,1,69,1017,199,1,23,0,6,13,7,23,1,1205,970,171,1,20,0,14,11,9,15,1,57,928,169,1,20,0,4,11,7,14,1,774,731,43,1831.89248617226,178315.008538975
209,007000,2,110010070002,1460,1440,1143,232,7,42,4,12,9,2,4,2,93,1076,224,6,41,4,3,7,2,4,1,1391,1104,207,7,41,4,10,7,2,4,2,87,1040,202,6,40,4,1,5,2,4,1,494,464,30,2125.26080008068,242060.498853932
210,007100,1,110010071001,833,818,168,617,8,8,0,17,9,5,6,0,43,149,612,8,8,0,0,9,5,4,0,607,152,418,6,8,0,13,5,3,5,0,32,139,413,6,8,0,0,5,3,4,0,397,355,42,3273.35562788751,506424.98800804
211,007100,2,110010071002,2078,1989,809,1086,7,64,0,23,35,26,33,2,115,749,1079,7,63,0,7,27,16,28,2,1682,743,791,6,62,0,18,27,23,19,2,87,691,788,6,61,0,6,24,14,16,2,1064,987,77,2337.35298049271,224875.287468009
212,007200,1,110010072001,1964,1909,1389,386,4,109,0,21,21,12,24,4,110,1314,378,3,109,0,3,19,12,24,4,1851,1343,330,4,105,0,21,17,11,21,4,108,1269,322,3,105,0,3,16,11,21,4,1652,1201,451,2503.64684723115,302112.118975744
213,007200,2,110010072002,830,800,281,476,0,35,0,8,17,8,6,2,45,255,473,0,34,0,0,15,6,6,2,807,274,463,0,33,0,8,17,7,6,2,43,249,460,0,32,0,0,15,6,6,2,718,629,89,5067.06751957292,1339566.02871378
214,007301,1,110010073011,3012,2818,1791,767,21,110,13,116,106,26,72,31,391,1605,717,18,102,13,10,87,21,67,29,2064,1293,511,18,81,11,76,38,17,25,12,236,1167,487,15,78,11,5,33,15,23,12,991,812,179,17862.9884721654,9873892.76213028
215,007304,1,110010073041,2353,2336,13,2315,1,4,1,2,17,8,6,0,12,13,2304,1,4,1,2,16,8,6,0,1514,11,1488,1,4,1,2,7,4,2,0,6,11,1482,1,4,1,2,7,4,2,0,848,729,119,5464.9029120241,996959.128748073
216,007304,2,110010073042,681,676,19,646,8,1,0,2,5,1,0,0,12,18,638,7,1,0,0,5,1,0,0,523,19,493,4,1,0,2,4,1,0,0,9,18,488,3,1,0,0,4,1,0,0,303,258,45,1344.65738533975,105389.798546663
217,007304,3,110010073043,512,501,9,482,1,2,0,7,10,4,2,2,14,9,478,1,2,0,1,6,4,2,2,392,9,366,1,2,0,6,7,4,2,2,9,9,363,1,2,0,1,6,4,2,2,225,211,14,1977.05083311186,148071.804172213
218,007401,1,110010074011,1484,1478,10,1457,9,1,0,1,6,2,0,1,6,9,1456,7,1,0,0,5,2,0,1,890,7,873,6,1,0,0,3,1,0,1,5,6,872,4,1,0,0,2,1,0,1,496,452,44,5456.80674667351,1271800.6508682
219,007401,2,110010074012,930,915,7,892,1,4,0,11,15,8,4,0,25,6,886,1,4,0,0,8,4,4,0,578,7,552,1,3,0,8,7,3,1,0,15,6,550,1,3,0,0,3,2,1,0,439,319,120,2181.86879014992,175912.771709051
220,007403,1,110010074031,2859,2835,12,2811,4,7,0,1,24,7,8,0,24,12,2792,2,6,0,0,23,7,8,0,1956,11,1918,3,7,0,1,16,4,6,0,12,11,1910,2,6,0,0,15,4,6,0,1180,1092,88,3174.08157678529,326104.07236817
221,007404,1,110010074041,1923,1894,17,1859,3,2,0,13,28,17,4,2,31,17,1844,1,2,0,2,25,15,4,2,1237,13,1193,3,2,0,10,15,5,4,2,17,13,1186,1,2,0,2,15,5,4,2,710,657,53,2690.44068413715,353801.451686698
222,007404,2,110010074042,999,974,22,935,1,6,0,10,25,14,4,0,23,12,932,1,6,0,2,23,13,4,0,630,14,588,1,5,0,4,18,9,4,0,13,9,585,1,5,0,0,17,8,4,0,379,316,63,2596.41216404019,254534.868527666
223,007404,3,110010074043,388,378,2,371,0,0,0,5,5,3,1,0,10,2,371,0,0,0,0,4,3,1,0,233,2,222,0,0,0,3,4,2,0,0,6,2,222,0,0,0,0,3,2,0,0,219,133,86,2425.66273098192,197490.144008067
224,007406,1,110010074061,1439,1419,13,1400,1,0,0,5,20,7,0,1,42,9,1376,1,0,0,2,9,7,0,1,953,10,926,1,0,0,5,11,5,0,1,21,8,915,1,0,0,2,6,5,0,1,519,478,41,1628.1363664773,174608.784953644
225,007406,2,110010074062,1624,1609,7,1584,4,2,0,12,15,6,4,2,29,2,1574,4,2,0,2,11,4,2,0,877,4,853,2,2,0,6,10,5,3,1,14,2,849,2,2,0,1,7,4,2,0,547,507,40,2804.71867655678,195089.003811793
226,007407,1,110010074071,816,807,5,798,3,0,0,1,8,5,0,0,12,5,788,3,0,0,0,8,5,0,0,563,5,546,3,0,0,1,7,4,0,0,6,5,542,3,0,0,0,7,4,0,0,362,343,19,2721.28838239034,340100.207366426
227,007407,2,110010074072,1771,1744,27,1701,0,11,0,5,27,9,1,1,24,27,1681,0,11,0,3,25,9,1,1,1287,25,1232,0,7,0,4,19,7,1,1,16,25,1220,0,7,0,2,17,7,1,1,841,747,94,2531.84881278264,270525.76088714
228,007408,1,110010074081,3038,3010,32,2964,7,4,0,3,28,15,0,1,32,26,2939,7,4,0,2,28,15,0,1,2027,27,1970,6,3,0,3,18,12,0,1,20,24,1954,6,3,0,2,18,12,0,1,1239,1053,186,3911.21186837082,382391.546224026
229,007409,1,110010074091,788,776,11,760,1,0,0,4,12,7,2,0,12,3,757,1,0,0,4,11,7,2,0,603,9,579,0,0,0,4,11,7,2,0,9,3,577,0,0,0,4,10,7,2,0,367,349,18,1299.44333286112,84225.8768685409
230,004100,3,110010041003,808,788,661,25,3,60,1,38,12,4,5,1,79,616,25,3,60,1,8,12,4,4,1,726,606,21,3,52,1,32,4,2,5,1,75,562,21,3,52,1,4,4,2,4,1,414,380,34,3380.08317011014,412355.782436067
231,004201,1,110010042011,1434,1399,1120,139,2,100,0,38,14,6,12,0,157,1016,135,1,99,0,1,12,5,11,0,1386,1092,127,2,98,0,35,12,6,11,0,145,997,123,1,97,0,1,10,5,10,0,1085,1004,81,1408.66809629607,90060.2625134863
232,004201,2,110010042012,1908,1851,1601,101,3,115,0,31,19,14,29,2,109,1528,101,2,115,0,5,16,12,27,2,1836,1546,93,3,112,0,31,18,13,25,1,106,1476,93,2,112,0,5,15,11,23,1,1174,1109,65,1417.98698323847,114448.011374205
233,004202,1,110010042021,1357,1314,1136,28,5,119,3,23,9,5,28,4,97,1068,27,3,118,3,2,8,3,28,4,1318,1105,28,5,113,3,23,9,5,26,4,96,1038,27,3,112,3,2,8,3,26,4,902,838,64,1582.64158016218,111186.826402422
234,004202,2,110010042022,1414,1374,1145,101,5,97,0,26,10,7,22,3,118,1065,99,3,96,0,5,8,4,19,2,1373,1123,96,4,88,0,23,10,7,22,3,112,1045,94,3,87,0,4,8,4,19,2,1013,949,64,1454.74380095379,97201.2459441857
235,004300,1,110010043001,2062,2002,1123,628,14,99,2,136,25,12,21,3,308,987,620,10,92,2,1,21,9,20,3,1876,1097,526,9,95,2,94,21,12,20,3,245,974,519,7,90,2,1,18,9,19,3,1327,1267,60,1557.6431925685,122719.905126253
236,004300,2,110010043002,1193,1162,726,273,4,58,0,101,13,9,14,1,184,655,269,2,57,0,5,8,8,12,1,1087,698,241,4,55,0,65,12,9,9,1,142,632,237,2,54,0,4,7,8,8,1,757,676,81,1435.15396298268,113903.174809679
237,004400,1,110010044001,2769,2693,1987,431,9,197,0,69,32,13,38,3,226,1849,417,8,196,0,8,31,12,36,3,2652,1924,404,9,187,0,66,27,14,29,3,218,1792,390,8,186,0,6,26,12,28,3,1771,1671,100,2006.86214051829,246872.29663198
238,004400,2,110010044002,1803,1754,1002,585,15,63,0,89,13,10,23,2,191,929,565,10,63,0,7,11,8,21,2,1611,952,482,12,61,0,63,10,10,20,2,148,891,464,9,61,0,5,10,8,19,2,880,822,58,2324.77682875257,274819.251805338
239,004600,1,110010046001,1177,1140,290,782,2,39,0,27,29,11,20,1,96,242,768,2,39,0,3,20,9,16,1,978,274,615,2,36,0,20,24,11,15,1,73,237,602,2,36,0,3,19,9,14,1,544,474,70,1633.39096307773,139287.312194865
240,004600,2,110010046002,1851,1789,526,1182,1,58,0,22,31,9,22,6,125,455,1161,1,57,0,4,25,5,20,4,1559,483,945,1,58,0,19,29,5,20,5,94,431,931,1,57,0,3,23,2,19,4,921,794,127,2565.60979906103,297630.026053208
241,004701,1,110010047011,1111,1101,9,1057,4,27,0,4,9,5,0,1,16,8,1046,4,27,0,1,8,5,0,1,805,8,762,3,19,0,4,8,5,0,1,12,7,755,3,19,0,1,7,5,0,1,429,384,45,1234.13045488055,93618.0595710895
242,004701,2,110010047012,2875,2818,586,1697,15,503,1,16,36,22,23,3,92,541,1679,9,500,1,2,31,19,23,3,2261,572,1161,14,450,1,16,28,15,21,3,86,529,1145,9,447,1,2,24,13,21,3,1709,1618,91,2917.17301675647,227600.143935272
243,004702,1,110010047021,1802,1742,703,853,0,158,1,27,35,14,21,1,95,659,844,0,158,1,5,24,8,16,1,1647,693,724,0,157,1,21,31,11,17,1,84,649,716,0,157,1,4,22,8,14,1,988,922,66,2950.75809494102,324502.438578914
244,004801,1,110010048011,2143,2045,847,961,9,123,5,100,50,24,50,2,191,776,952,6,123,0,10,48,19,48,2,1934,816,829,9,113,3,80,43,22,41,2,166,752,820,6,113,0,5,41,17,39,2,1208,1078,130,2458.97270141106,317459.981364852
245,004802,1,110010048021,1212,1181,508,546,6,81,1,39,16,8,14,0,82,470,543,5,81,0,4,14,7,12,0,1063,495,424,6,77,1,32,14,8,13,0,72,460,422,5,77,0,3,12,6,11,0,722,609,113,1542.86928690382,139477.865941101
246,004802,2,110010048022,1710,1664,358,918,10,288,0,90,32,23,6,1,141,323,914,4,287,0,2,31,23,6,1,1429,335,752,7,226,0,74,22,18,6,0,114,307,749,4,225,0,1,21,18,6,0,839,773,66,1682.9922516032,148620.239429479
247,004901,1,110010049011,1184,1164,307,790,6,15,1,45,15,6,9,0,113,243,776,5,15,1,15,11,4,9,0,843,261,524,6,11,1,27,8,5,7,0,73,221,517,5,11,1,4,6,4,7,0,509,481,28,1375.61490590898,85705.2169616914
248,004901,2,110010049012,903,872,486,285,8,79,0,14,15,7,12,0,65,443,284,7,79,0,1,13,7,12,0,853,469,270,8,69,0,11,15,7,9,0,55,431,269,7,69,0,1,13,7,9,0,585,490,95,1876.97823426097,186154.227887982
249,004902,1,110010049021,816,797,232,366,4,17,0,178,1,2,5,3,250,183,360,0,17,0,0,1,1,5,3,628,215,248,2,17,0,130,1,2,4,2,187,175,244,0,17,0,0,1,1,4,2,347,326,21,1184.22982330488,65739.8253954545
250,004902,2,110010049022,1874,1818,1098,446,7,149,6,112,20,7,21,3,218,1010,445,4,149,1,11,15,7,17,3,1726,1066,367,6,145,4,90,17,7,19,3,188,987,366,3,145,1,5,13,7,16,3,1183,1091,92,1755.79347304088,198119.09917185
251,005001,1,110010050011,784,765,615,101,1,33,0,15,6,0,12,0,60,570,100,1,33,0,7,4,0,10,0,735,578,91,1,33,0,15,6,0,10,0,56,537,90,1,33,0,7,4,0,8,0,428,405,23,1455.15021007268,104508.498894073
252,005001,2,110010050012,1171,1128,644,383,2,59,0,40,19,8,18,2,109,591,374,0,59,0,2,19,8,15,0,1067,617,338,2,54,0,27,16,8,11,0,84,571,329,0,54,0,1,16,8,10,0,575,547,28,1524.77411065569,100222.216494753
253,005002,1,110010050021,1820,1765,693,563,26,73,1,409,13,14,15,0,618,534,560,12,73,0,1,7,6,13,0,1588,661,492,22,68,1,296,12,12,13,0,471,527,489,12,68,0,1,7,6,11,0,1118,967,151,801.994881282792,39701.6432169605
254,005002,2,110010050022,1921,1830,1369,274,4,113,4,66,32,11,46,3,224,1240,263,3,113,4,3,26,9,43,3,1851,1347,250,4,110,4,58,25,11,36,3,208,1224,240,3,110,4,3,20,9,34,3,1337,1240,97,1412.88252922613,91607.6462565007
255,005002,3,110010050023,879,853,554,122,3,36,0,138,13,5,5,0,204,506,116,0,36,0,3,7,5,5,0,799,535,107,1,34,0,102,9,5,3,0,161,489,102,0,34,0,1,6,5,3,0,526,497,29,1257.4128515816,71022.9988579679
256,005002,4,110010050024,1401,1351,609,193,0,106,0,443,17,9,13,1,630,457,181,0,104,0,8,10,7,12,1,1242,585,188,0,93,0,334,15,9,11,0,500,453,177,0,91,0,3,9,7,10,0,872,771,101,746.685284361114,31154.9257345526
257,005201,1,110010052011,2083,2011,1377,284,14,170,16,150,26,21,27,3,336,1245,272,6,168,0,4,23,12,25,3,2035,1365,282,14,166,12,129,26,19,24,3,304,1237,271,6,164,0,4,23,12,22,3,1719,1590,129,1102.19643125482,55011.1170894875
258,005201,2,110010052012,1316,1268,1075,65,1,111,2,14,11,11,31,0,72,1023,63,1,110,2,1,10,8,31,0,1288,1054,64,1,108,2,13,11,11,29,0,68,1004,63,1,107,2,1,10,8,29,0,988,913,75,1957.20973556204,135086.167890035
259,005201,3,110010052013,903,874,708,73,2,67,0,24,13,5,10,0,95,640,70,2,66,0,4,13,5,9,0,870,685,68,2,67,0,22,10,5,10,0,93,619,65,2,66,0,2,10,5,9,0,678,631,47,969.926423907113,38395.3798163634
260,005201,4,110010052014,1775,1725,1238,353,3,94,1,36,15,10,31,5,109,1171,352,0,94,1,9,12,7,26,5,1618,1201,258,3,88,1,33,9,10,19,4,97,1139,257,0,88,1,9,6,7,18,4,1163,1066,97,1437.67363949439,111183.798419977
261,005301,1,110010053011,976,950,823,44,1,54,0,28,8,5,15,0,69,791,41,0,52,0,0,7,4,14,0,939,797,43,0,54,0,22,8,5,12,0,61,766,40,0,52,0,0,7,4,11,0,684,660,24,968.006845044089,49299.4873488892
262,005301,2,110010053012,1192,1152,1004,41,3,89,1,14,7,3,29,0,70,953,41,2,89,0,1,6,2,28,0,1158,980,39,3,86,1,14,7,2,25,0,70,929,39,2,86,0,1,6,1,24,0,927,821,106,1443.71629547786,87445.1623438867
263,005301,3,110010053013,1332,1291,1034,56,3,168,2,28,10,6,25,0,143,932,53,1,167,1,6,6,3,23,0,1315,1026,50,3,167,2,28,9,6,24,0,138,927,49,1,166,1,6,5,3,22,0,1149,1062,87,1511.35404152953,81301.1475262681
264,005301,4,110010053014,1551,1509,1260,38,10,144,1,56,12,10,27,4,150,1171,36,4,143,1,9,10,10,27,4,1508,1236,37,10,135,1,52,10,9,23,4,144,1148,35,4,134,1,9,9,9,23,4,1130,1065,65,1163.94767080467,68323.2905607948
